pmid	doi	publisher_family	followup_status	journal	title
20008045	10.1093/jac/dkp438	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Detection of a new extended-spectrum oxacillinase in Pseudomonas aeruginosa.
20236427	10.1111/j.1348-0421.2010.00197.x	Wiley	abstract_only_with_pdf_candidate	Microbiology and immunology	Prevalence of integrons and a new dfrA17 variant in Gram-negative bacilli which cause community-acquired infections.
20305272	10.1093/jb/mvq029	OUP	abstract_only_with_pdf_candidate	Journal of biochemistry	Structure of metallo-beta-lactamase IND-7 from a Chryseobacterium indologenes clinical isolate at 1.65-A resolution.
20382725	10.1093/jac/dkq115	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	A tripeptide deletion in the R2 loop of the class C beta-lactamase enzyme FOX-4 impairs cefoxitin hydrolysis and slightly increases susceptibility to beta-lactamase inhibitors.
20387903	10.1021/bi100155j	ACS	abstract_only_with_pdf_candidate	Biochemistry	Thermodynamics and kinetics of association of antibiotics with the aminoglycoside acetyltransferase (3)-IIIb, a resistance-causing enzyme.
20421403	10.1128/AAC.01615-09	ASM	abstract_only_with_pdf_candidate	Antimicrobial agents and chemotherapy	Novel chromosome-encoded CTX-M-78 beta-lactamase from a Kluyvera georgiana clinical isolate as a putative origin of CTX-M-25 subgroup.
20421404	10.1128/AAC.01339-09	ASM	abstract_only_with_pdf_candidate	Antimicrobial agents and chemotherapy	Novel variants of the qnrB gene, qnrB22 and qnrB23, in Citrobacter werkmanii and Citrobacter freundii.
20511367	10.1093/jac/dkq187	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Reduced susceptibility to ceftriaxone in Neisseria gonorrhoeae is associated with mutations G542S, P551S and P551L in the gonococcal penicillin-binding protein 2.
20511369	10.1093/jac/dkq178	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	RAHN-2, a chromosomal extended-spectrum class A beta-lactamase from Rahnella aquatilis.
20519356	10.1093/jac/dkq192	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Tn1546 structures and multilocus sequence typing of vanA-containing enterococci of animal, human and food origin.
20566419	10.1179/joc.2010.22.3.160	Unclassified	abstract_only_with_pdf_candidate	Journal of chemotherapy (Florence, Italy)	Identification of SHV-type and CTX-M-12 extended-spectrum beta-lactamases (ESBLs) in multiresistant Enterobacteriaceae from Colombian Caribbean hospitals.
20573661	10.1093/jac/dkq195	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Molecular and functional characterization of a novel efflux pump, AmvA, mediating antimicrobial and disinfectant resistance in Acinetobacter baumannii.
20667885	10.1093/jac/dkq278	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Activity of a novel aminoglycoside, ACHN-490, against clinical isolates of Escherichia coli and Klebsiella pneumoniae from New York City.
20735174	10.1089/mdr.2010.0016	SAGE	abstract_only_with_pdf_candidate	Microbial drug resistance (Larchmont, N.Y.)	Metallo-β-lactamase expression confers an advantage to Pseudomonas aeruginosa isolates compared with other β-lactam resistance mechanisms, favoring the prevalence of metallo-β-lactamase producers in a clinical environment.
20876620	10.1093/jac/dkq365	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Small plasmids carrying vga(A) or vga(C) genes mediate resistance to lincosamides, pleuromutilins and streptogramin A antibiotics in methicillin-resistant Staphylococcus aureus ST398 from swine.
